Year,Dist Name,Lat,Lon,N,P,K,Mean_NDVI,ANNUALRAIN,Fertility_Class
2010,Ahmednagar,19.101053,74.740677,69.44,50.48,35.89,0.399996722,714.3,Medium
2011,Ahmednagar,19.101053,74.740677,77.69,50.3,19.08,0.371325864,462.5,Medium
2012,Ahmednagar,19.101053,74.740677,52,28.88,16.88,0.340538088,283.9,Medium
2013,Ahmednagar,19.101053,74.740677,66.74,38.12,22.01,0.34690798,474.8,Medium
2014,Ahmednagar,19.101053,74.740677,59.55,32.49,24.58,0.368675645,358.2,Medium
2015,Ahmednagar,19.101053,74.740677,49.47,33.94,19.36,0.369914922,301.8,Low
2016,Ahmednagar,19.101053,74.740677,68.07,37.43,21.67,0.343254002,524.8,Medium
2017,Ahmednagar,19.101053,74.740677,69.03,43.5,27.49,0.391997152,630.5,Medium
2007,Pune,18.5204,73.8567,62.91,30.58,24.57,0.391555714,1085.8,Medium
2008,Pune,18.5204,73.8567,70.41,38.18,25.49,0.367141739,797.7,Medium
2009,Pune,18.5204,73.8567,82.92,54.23,38.15,0.392253097,711.3,Medium
2010,Pune,18.5204,73.8567,104.73,67.18,46.09,0.420558762,862.5,High
2011,Pune,18.5204,73.8567,73.99,46.83,19.37,0.394568587,850.2,Medium
2012,Pune,18.5204,73.8567,70.4,32.76,20.84,0.378688931,573.4,Medium
2013,Pune,18.5204,73.8567,85.42,42.62,29.27,0.379779204,996.8,Medium
2014,Pune,18.5204,73.8567,0,0,0,0.409559115,789,Low
2015,Pune,18.5204,73.8567,75.56,42.82,25.31,0.431156516,582.8,Medium
2016,Pune,18.5204,73.8567,108.69,48.01,33.54,0.377493525,887.1,High
2017,Pune,18.5204,73.8567,111.5,55.37,39.51,0.418204647,988.7,High
2007,Satara,17.691401,74.000938,65.28,29.34,26.25,0.379353328,1539.6,Medium
2008,Satara,17.691401,74.000938,96.81,56.35,51.72,0.371539793,1088.6,High
2009,Satara,17.691401,74.000938,87.62,49.07,33.48,0.386421015,1089.6,Medium
2010,Satara,17.691401,74.000938,78.02,52.18,38.59,0.420035053,1197.3,Medium
2011,Satara,17.691401,74.000938,86.24,46.33,24.29,0.383012849,1226.5,Medium
2012,Satara,17.691401,74.000938,70.13,32.15,24.55,0.364440164,787.8,Medium
2013,Satara,17.691401,74.000938,70.95,35.13,27.26,0.384231091,943.2,Medium
2014,Satara,17.691401,74.000938,73.77,34.86,30.17,0.41144364,356.6,Medium
2015,Satara,17.691401,74.000938,68.19,34.81,24.26,0.427596208,539.5,Medium
2016,Satara,17.691401,74.000938,77.01,36.49,26.55,0.378753077,978.2,Medium
2017,Satara,17.691401,74.000938,73.86,38.69,29.87,0.415052266,869,Medium
2007,Sangli,16.867634,74.570389,77.35,46.53,54.27,0.348352959,652.7,Medium
2008,Sangli,16.867634,74.570389,100.65,46.96,49.1,0.327843524,401.1,High
2009,Sangli,16.867634,74.570389,110.61,65.96,48.96,0.352459912,506.7,High
2010,Sangli,16.867634,74.570389,102.91,65.57,44.41,0.379490873,570.8,High
2011,Sangli,16.867634,74.570389,90.89,55.1,30.88,0.347264717,337.2,High
2012,Sangli,16.867634,74.570389,87.71,42.04,33.28,0.324431948,253.8,Medium
2013,Sangli,16.867634,74.570389,84.92,38.86,31.28,0.358515681,470.6,Medium
2014,Sangli,16.867634,74.570389,78.07,33.37,34.86,0.385762382,515.9,Medium
2015,Sangli,16.867634,74.570389,61.42,34.88,26.35,0.376590301,280.5,Medium
2016,Sangli,16.867634,74.570389,72.8,38.29,33.73,0.3516333,612.6,Medium
2017,Sangli,16.867634,74.570389,69.03,35.33,31.19,0.38826157,449.7,Medium
2007,Solapur,17.65992,75.906387,55.44,28.22,21.53,0.353285886,641.4,Medium
2008,Solapur,17.65992,75.906387,67.42,36.16,28.34,0.329957501,520.9,Medium
2009,Solapur,17.65992,75.906387,89.69,65.36,43.63,0.358071122,539.7,Medium
2010,Solapur,17.65992,75.906387,83.6,66.07,46.31,0.395759255,718,Medium
2011,Solapur,17.65992,75.906387,76.26,45.88,25.08,0.360596794,411.7,Medium
2012,Solapur,17.65992,75.906387,62.97,31.97,24.31,0.339993233,306.7,Medium
2013,Solapur,17.65992,75.906387,88.65,43.04,30.81,0.343136703,500.9,Medium
2014,Solapur,17.65992,75.906387,74.26,32.25,28.03,0.385149488,356.6,Medium
2015,Solapur,17.65992,75.906387,52.88,25.51,18.96,0.347937441,193.9,Medium
2016,Solapur,17.65992,75.906387,71.36,29.51,21.19,0.320963673,395.3,Medium
2017,Solapur,17.65992,75.906387,81.77,39.59,30.81,0.39376083,415.3,Medium
2007,Kolhapur,16.691307,74.244865,85.81,42.75,39.57,0.473035266,2234.7,Medium
